Model	Shot	Accuracy	Precision	Recall	F1	p-value
covamnet	5	0.7089	0.8231	0.7089	0.7057	4.50e-64
protonet	5	0.9422	0.9483	0.9422	0.9419	2.74e-165
covamnet	1	0.6289	0.7712	0.6289	0.6286	2.31e-40
cosine	5	0.9578	0.9594	0.9578	0.9577	9.80e-174
protonet	1	0.9400	0.9428	0.9400	0.9398	4.24e-164
cosine	1	0.9267	0.9288	0.9267	0.9257	4.71e-157
covamnet	1	0.6867	0.7644	0.6867	0.6914	6.34e-57
protonet	1	0.9311	0.9414	0.9311	0.9305	2.20e-159
cosine	1	0.9400	0.9399	0.9400	0.9397	4.24e-164
covamnet	5	0.8956	0.9030	0.8956	0.8948	3.19e-141
protonet	5	0.9733	0.9753	0.9733	0.9733	2.14e-182
cosine	5	0.9578	0.9625	0.9578	0.9576	9.80e-174
