Shot	Samples	Accuracy	Precision	Recall	F1	p-value
5	30	0.9644	0.9679	0.9644	0.9643	2.02e-177
1	30	0.9511	0.9564	0.9511	0.9506	4.34e-170
5	60	0.9578	0.9594	0.9578	0.9577	9.80e-174
1	60	0.9267	0.9288	0.9267	0.9257	4.71e-157
5	90	0.9800	0.9803	0.9800	0.9800	3.59e-186
1	90	0.9778	0.9782	0.9778	0.9776	6.58e-185
1	30	0.9778	0.9792	0.9778	0.9778	6.58e-185
1	60	0.9400	0.9399	0.9400	0.9397	4.24e-164
1	90	0.9711	0.9734	0.9711	0.9711	3.82e-181
5	30	0.9778	0.9792	0.9778	0.9778	6.58e-185
5	60	0.9578	0.9625	0.9578	0.9576	9.80e-174
5	90	0.9778	0.9792	0.9778	0.9778	6.58e-185
