Shot	Samples	Accuracy	Precision	Recall	F1	p-value
5	30	0.5222	0.6193	0.5222	0.5346	1.90e-17
1	30	0.6667	0.8068	0.6667	0.6679	7.34e-51
5	60	0.7089	0.8231	0.7089	0.7057	4.50e-64
1	60	0.6289	0.7712	0.6289	0.6286	2.31e-40
5	90	0.6044	0.7948	0.6044	0.5391	3.11e-34
1	90	0.8444	0.8658	0.8444	0.8445	4.66e-117
1	30	0.6289	0.7221	0.6289	0.6170	2.31e-40
1	60	0.6867	0.7644	0.6867	0.6914	6.34e-57
1	90	0.7378	0.7422	0.7378	0.7275	5.16e-74
5	30	0.6111	0.7950	0.6111	0.5392	7.47e-36
5	60	0.8956	0.9030	0.8956	0.8948	3.19e-141
5	90	0.8244	0.8460	0.8244	0.8206	3.16e-108
