File Name,Status,Output 224x224,Output Labeled,Scalogram Shape,PD Type
pulse10_corona5.mat,Processed,corona_pulse1_224x224.png,corona_pulse1_scalogram_labeled.png,"(224, 224, 3)",corona
pulse10_corona5_noisy.mat,Processed,corona_pulse2_224x224.png,,"(224, 224, 3)",corona
pulse10_corona6.mat,Processed,corona_pulse3_224x224.png,,"(224, 224, 3)",corona
pulse10_corona6_noisy.mat,Processed,corona_pulse4_224x224.png,,"(224, 224, 3)",corona
pulse11_corona5.mat,Processed,corona_pulse5_224x224.png,,"(224, 224, 3)",corona
pulse11_corona5_noisy.mat,Processed,corona_pulse6_224x224.png,,"(224, 224, 3)",corona
pulse11_corona6.mat,Processed,corona_pulse7_224x224.png,,"(224, 224, 3)",corona
pulse11_corona6_noisy.mat,Processed,corona_pulse8_224x224.png,,"(224, 224, 3)",corona
pulse12_corona5.mat,Processed,corona_pulse9_224x224.png,,"(224, 224, 3)",corona
pulse12_corona5_noisy.mat,Processed,corona_pulse10_224x224.png,,"(224, 224, 3)",corona
pulse12_corona6.mat,Processed,corona_pulse11_224x224.png,,"(224, 224, 3)",corona
pulse12_corona6_noisy.mat,Processed,corona_pulse12_224x224.png,,"(224, 224, 3)",corona
pulse1_corona1.mat,Processed,corona_pulse13_224x224.png,,"(224, 224, 3)",corona
pulse1_corona10.mat,Processed,corona_pulse14_224x224.png,,"(224, 224, 3)",corona
pulse1_corona10_noisy.mat,Processed,corona_pulse15_224x224.png,,"(224, 224, 3)",corona
pulse1_corona11.mat,Processed,corona_pulse16_224x224.png,,"(224, 224, 3)",corona
pulse1_corona11_noisy.mat,Processed,corona_pulse17_224x224.png,,"(224, 224, 3)",corona
pulse1_corona12.mat,Processed,corona_pulse18_224x224.png,,"(224, 224, 3)",corona
pulse1_corona12_noisy.mat,Processed,corona_pulse19_224x224.png,,"(224, 224, 3)",corona
pulse1_corona13.mat,Processed,corona_pulse20_224x224.png,,"(224, 224, 3)",corona
pulse1_corona13_noisy.mat,Processed,corona_pulse21_224x224.png,,"(224, 224, 3)",corona
pulse1_corona14.mat,Processed,corona_pulse22_224x224.png,,"(224, 224, 3)",corona
pulse1_corona14_noisy.mat,Processed,corona_pulse23_224x224.png,,"(224, 224, 3)",corona
pulse1_corona15.mat,Processed,corona_pulse24_224x224.png,,"(224, 224, 3)",corona
pulse1_corona15_noisy.mat,Processed,corona_pulse25_224x224.png,,"(224, 224, 3)",corona
