File Name,Status,Output 224x224,Output Labeled,Scalogram Shape,PD Type
pulse12_surface15_noisy.mat,Processed,surface_pulse1_224x224.png,,"(224, 224, 3)",surface
pulse12_surface38_noisy.mat,Processed,surface_pulse2_224x224.png,,"(224, 224, 3)",surface
pulse7_surface36.mat,Processed,surface_pulse3_224x224.png,,"(224, 224, 3)",surface
pulse9_surface25.mat,Processed,surface_pulse4_224x224.png,,"(224, 224, 3)",surface
pulse11_surface53_noisy.mat,Processed,surface_pulse5_224x224.png,,"(224, 224, 3)",surface
pulse1_surface61.mat,Processed,surface_pulse6_224x224.png,,"(224, 224, 3)",surface
pulse1_surface57.mat,Processed,surface_pulse7_224x224.png,,"(224, 224, 3)",surface
pulse6_surface17_noisy.mat,Processed,surface_pulse8_224x224.png,,"(224, 224, 3)",surface
pulse1_surface7.mat,Processed,surface_pulse9_224x224.png,,"(224, 224, 3)",surface
pulse6_surface41_noisy.mat,Processed,surface_pulse10_224x224.png,,"(224, 224, 3)",surface
pulse5_surface16.mat,Processed,surface_pulse11_224x224.png,,"(224, 224, 3)",surface
pulse5_surface26.mat,Processed,surface_pulse12_224x224.png,,"(224, 224, 3)",surface
pulse12_surface26_noisy.mat,Processed,surface_pulse13_224x224.png,,"(224, 224, 3)",surface
pulse2_surface17_noisy.mat,Processed,surface_pulse14_224x224.png,,"(224, 224, 3)",surface
pulse9_surface52_noisy.mat,Processed,surface_pulse15_224x224.png,,"(224, 224, 3)",surface
pulse9_surface13.mat,Processed,surface_pulse16_224x224.png,,"(224, 224, 3)",surface
pulse2_surface2.mat,Processed,surface_pulse17_224x224.png,,"(224, 224, 3)",surface
pulse3_surface23_noisy.mat,Processed,surface_pulse18_224x224.png,,"(224, 224, 3)",surface
pulse8_surface42.mat,Processed,surface_pulse19_224x224.png,,"(224, 224, 3)",surface
pulse12_surface52.mat,Processed,surface_pulse20_224x224.png,,"(224, 224, 3)",surface
pulse2_surface44_noisy.mat,Processed,surface_pulse21_224x224.png,,"(224, 224, 3)",surface
pulse8_surface23_noisy.mat,Processed,surface_pulse22_224x224.png,,"(224, 224, 3)",surface
pulse8_surface31_noisy.mat,Processed,surface_pulse23_224x224.png,,"(224, 224, 3)",surface
pulse7_surface54.mat,Processed,surface_pulse24_224x224.png,,"(224, 224, 3)",surface
pulse11_surface37_noisy.mat,Processed,surface_pulse25_224x224.png,,"(224, 224, 3)",surface
pulse1_surface12_noisy.mat,Processed,surface_pulse26_224x224.png,,"(224, 224, 3)",surface
pulse11_surface62_noisy.mat,Processed,surface_pulse27_224x224.png,,"(224, 224, 3)",surface
pulse7_surface40_noisy.mat,Processed,surface_pulse28_224x224.png,,"(224, 224, 3)",surface
pulse9_surface48.mat,Processed,surface_pulse29_224x224.png,,"(224, 224, 3)",surface
pulse8_surface38_noisy.mat,Processed,surface_pulse30_224x224.png,,"(224, 224, 3)",surface
pulse1_surface15.mat,Processed,surface_pulse31_224x224.png,,"(224, 224, 3)",surface
pulse2_surface36_noisy.mat,Processed,surface_pulse32_224x224.png,,"(224, 224, 3)",surface
pulse7_surface47_noisy.mat,Processed,surface_pulse33_224x224.png,,"(224, 224, 3)",surface
pulse3_surface47_noisy.mat,Processed,surface_pulse34_224x224.png,,"(224, 224, 3)",surface
pulse4_surface41.mat,Processed,surface_pulse35_224x224.png,,"(224, 224, 3)",surface
pulse8_surface46.mat,Processed,surface_pulse36_224x224.png,,"(224, 224, 3)",surface
pulse3_surface8_noisy.mat,Processed,surface_pulse37_224x224.png,,"(224, 224, 3)",surface
pulse8_surface29.mat,Processed,surface_pulse38_224x224.png,,"(224, 224, 3)",surface
pulse9_surface1.mat,Processed,surface_pulse39_224x224.png,,"(224, 224, 3)",surface
pulse12_surface52_noisy.mat,Processed,surface_pulse40_224x224.png,,"(224, 224, 3)",surface
pulse12_surface36.mat,Processed,surface_pulse41_224x224.png,,"(224, 224, 3)",surface
pulse5_surface13_noisy.mat,Processed,surface_pulse42_224x224.png,,"(224, 224, 3)",surface
pulse12_surface32.mat,Processed,surface_pulse43_224x224.png,,"(224, 224, 3)",surface
pulse12_surface19_noisy.mat,Processed,surface_pulse44_224x224.png,,"(224, 224, 3)",surface
pulse5_surface15.mat,Processed,surface_pulse45_224x224.png,,"(224, 224, 3)",surface
pulse10_surface46.mat,Processed,surface_pulse46_224x224.png,,"(224, 224, 3)",surface
pulse3_surface19.mat,Processed,surface_pulse47_224x224.png,,"(224, 224, 3)",surface
pulse3_surface17.mat,Processed,surface_pulse48_224x224.png,,"(224, 224, 3)",surface
pulse7_surface28_noisy.mat,Processed,surface_pulse49_224x224.png,,"(224, 224, 3)",surface
pulse8_surface35_noisy.mat,Processed,surface_pulse50_224x224.png,,"(224, 224, 3)",surface
pulse1_surface12.mat,Processed,surface_pulse51_224x224.png,,"(224, 224, 3)",surface
pulse5_surface58_noisy.mat,Processed,surface_pulse52_224x224.png,,"(224, 224, 3)",surface
pulse12_surface46.mat,Processed,surface_pulse53_224x224.png,,"(224, 224, 3)",surface
pulse11_surface16.mat,Processed,surface_pulse54_224x224.png,,"(224, 224, 3)",surface
pulse4_surface58.mat,Processed,surface_pulse55_224x224.png,,"(224, 224, 3)",surface
pulse6_surface59.mat,Processed,surface_pulse56_224x224.png,,"(224, 224, 3)",surface
pulse8_surface16.mat,Processed,surface_pulse57_224x224.png,,"(224, 224, 3)",surface
pulse4_surface49_noisy.mat,Processed,surface_pulse58_224x224.png,,"(224, 224, 3)",surface
pulse11_surface31_noisy.mat,Processed,surface_pulse59_224x224.png,,"(224, 224, 3)",surface
pulse6_surface49.mat,Processed,surface_pulse60_224x224.png,,"(224, 224, 3)",surface
pulse6_surface22_noisy.mat,Processed,surface_pulse61_224x224.png,,"(224, 224, 3)",surface
