# Labeled Scalogram to Source Pulse Mapping
# Split: train, Class: nopd
# Format: scalogram_file -> source_pulse_file
# Generated at: pulse_dataset_original
============================================================
pulse_0001_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0001.mat
pulse_0002_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0002.mat
pulse_0003_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0003.mat
pulse_0004_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0004.mat
pulse_0005_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0005.mat
pulse_0006_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0006.mat
pulse_0007_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0007.mat
pulse_0008_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0008.mat
pulse_0009_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0009.mat
pulse_0010_labeled.png -> /mnt/disk2/nhatnc/res/dataset/pulse_dataset_original/train/nopd/pulse_0010.mat
